choc
chou
chouchou
chrono
cochon
coco
cocon
cocu
concouru
concu
connu
cornu
coron
coucou
cour
couru
croc
crochu
cruchon
foufou
four
fourchon
fourchu
froc
froufrou
hocco
huron
nounou
rococo
rocou
ronchon
ronron
rouf
