agir
agira
agirai
agirais
agirait
agiras
agis
agissais
agissait
agit
agit
agita
agitai
agitais
agitait
agitas
agitat
aigri
aigrir
aigrira
aigrirai
aigrirais
aigrirait
aigriras
aigris
aigrissais
aigrissait
aigrit
aigrit
ailla
aillai
aillais
aillait
aillas
aillat
ails
aira
airai
airais
airait
airas
airat
airs
alias
alita
alitai
alitais
alitait
alitas
alitat
alla
allai
allais
allait
allaita
allaitai
allaitais
allaitait
allaitas
allaitat
allas
allat
allia
alliai
alliais
alliait
allias
alliat
aras
arasa
arasai
arasais
arasait
arasas
arasat
argas
aria
arias
arisa
arisai
arisais
arisait
arisas
arisat
arrisa
arrisai
arrisais
arrisait
arrisas
arrisat
arts
assagi
assagir
assagira
assagirai
assagirais
assagirait
assagiras
assagis
assagissais
assagissait
assagit
assagit
assai
assaillais
assaillait
assailli
assaillir
assaillira
assaillirai
assaillirais
assaillirait
assailliras
assaillis
assaillit
assaillit
assis
assista
assistai
assistais
assistait
assistas
assistat
assit
assit
asti
astis
astral
atlas
attira
attirai
attirail
attirails
attirais
attirait
attiras
attirat
attisa
attisai
attisais
attisait
attisas
attisat
attitra
attitrai
attitrais
attitrait
attitras
attitrat
attrait
attraits
attrista
attristai
attristais
attristait
attristas
attristat
gaga
gagas
gags
gais
gala
galas
galgal
galgals
gals
gara
garai
garais
garait
garas
garat
gargarisa
gargarisai
gargarisais
gargarisait
gargarisas
gargarisat
gars
gata
gatai
gatais
gatait
gatas
gatat
girl
girls
gisais
gisait
gita
gitai
gitais
gitait
gitas
gitat
glaira
glairai
glairais
glairait
glairas
glairat
glaisa
glaisai
glaisais
glaisait
glaisas
glaisat
glas
glass
glati
glatir
glatira
glatirai
glatirais
glatirait
glatiras
glatis
glatissais
glatissait
glatit
glatit
glissa
glissai
glissais
glissait
glissas
glissat
grailla
graillai
graillais
graillait
graillas
graillat
graissa
graissai
graissais
graissait
graissas
graissat
gras
gratis
gratta
grattai
grattais
grattait
grattas
grattat
grigri
grigris
gril
grill
grilla
grillai
grillais
grillait
grillas
grillat
grills
grils
gris
grisa
grisai
grisailla
grisaillai
grisaillais
grisaillait
grisaillas
grisaillat
grisais
grisait
grisas
grisat
irai
irais
irait
iras
iris
irisa
irisai
irisais
irisait
irisas
irisat
iritis
irrita
irritai
irritais
irritait
irritas
irritat
isatis
lais
laissa
laissai
laissais
laissait
laissas
laissat
lait
laits
lassa
lassai
lassais
lassait
lassas
lassat
lassis
latta
lattai
lattais
lattait
lattas
lattat
lattis
liai
liais
liait
lias
liat
lilas
lilial
lira
lirai
lirais
lirait
liras
lisais
lisait
lissa
lissai
lissais
lissait
lissas
lissat
lista
listai
listais
listait
listas
listat
lita
litai
litais
litait
litas
litat
lits
raia
raias
rail
railla
raillai
raillais
raillait
raillas
raillat
rails
rais
rala
ralai
ralais
ralait
ralas
ralat
rallia
ralliai
ralliais
ralliait
rallias
ralliat
rasa
rasai
rasais
rasait
rasas
rasat
rassasia
rassasiai
rassasiais
rassasiait
rassasias
rassasiat
rassis
rassit
rassit
rasta
rastas
rata
ratai
ratais
ratait
ratas
ratat
ratissa
ratissai
ratissais
ratissait
ratissas
ratissat
rats
riais
riait
rial
rials
rias
rira
rirai
rirais
rirait
riras
rital
ritals
saga
sagas
sagittal
saiga
saigas
saillais
saillait
sailli
saillir
saillira
saillirai
saillirais
saillirait
sailliras
saillis
saillit
saillit
sais
sais
saisi
saisir
saisira
saisirai
saisirais
saisirait
saisiras
saisis
saisissais
saisissait
saisit
saisit
sait
sala
salai
salais
salait
salaria
salariai
salariais
salariait
salarial
salarias
salariat
salariat
salariats
salas
salat
sali
salir
salira
salirai
salirais
salirait
saliras
salis
salissais
salissait
salit
salit
salsa
salsas
sari
saris
sassa
sassai
sassais
sassait
sassas
sassat
sati
satirisa
satirisai
satirisais
satirisait
satirisas
satirisat
satis
sial
sialis
sils
sirli
sirlis
sirs
sisal
sisals
sitar
sitars
stalag
stalags
star
starisa
starisai
starisais
starisait
starisas
starisat
stars
stras
strass
stria
striai
striais
striait
strias
striat
tagal
taiga
taigas
tailla
taillai
taillais
taillait
taillas
taillat
taillis
taira
tairai
tairais
tairait
tairas
tais
taisais
taisait
tait
tala
talai
talais
talait
talas
talat
talla
tallai
tallais
tallait
tallas
tallat
tara
tarai
tarais
tarait
taras
tarat
taratata
tari
tarir
tarira
tarirai
tarirais
tarirait
tariras
taris
tarissais
tarissait
tarit
tarit
tarsal
tarti
tartir
tartira
tartirai
tartirais
tartirait
tartiras
tartis
tartissais
tartissait
tartit
tartit
tassa
tassai
tassais
tassait
tassas
tassat
tassili
tassilis
tata
tata
tatai
tatais
tatait
tatas
tatas
tatat
tigra
tigrai
tigrais
tigrait
tigras
tigrat
tilla
tillai
tillais
tillait
tillas
tillat
tilt
tilts
tira
tirai
tirailla
tiraillai
tiraillais
tiraillait
tiraillas
tiraillat
tirais
tirait
tiras
tirat
tirs
tisa
tisai
tisais
tisait
tisas
tisat
tissa
tissai
tissais
tissait
tissas
tissat
titi
titilla
titillai
titillais
titillait
titillas
titillat
titis
titra
titrai
titrais
titrait
titras
titrat
traira
trairai
trairais
trairait
trairas
trais
trait
traita
traitai
traitais
traitait
traitas
traitat
traits
tralala
tralalas
tria
triai
triais
triait
trial
trials
trias
triat
trilla
trillai
trillais
trillait
trillas
trillat
tris
trissa
trissai
trissais
trissait
trissas
trissat
tsar
tsars
