dispos
dispositif
dispositifs
dito
dits
dodo
dodos
dois
doit
dots
fistot
fistots
fois
foot
foots
idiot
idiots
oisif
oisifs
pfft
pifs
pipi
pipis
pipit
pipits
poids
pois
positif
positifs
pots
psitt
ptosis
sitot
soif
soifs
sois
soit
sots
spot
spots
stop
stops
tifs
titi
titis
toit
toits
topo
topos
tops
toto
totos
