apparu
approuva
apura
arqua
aura
avoua
ouvra
papa
para
parqua
paru
pava
poqua
pour
pourpra
pourra
pourvu
prou
prouva
provo
provoqua
purpura
quarra
rapa
raqua
roqua
roua
rouvru
vaqua
varappa
voua
