lolo
lolos
loto
lotos
lots
lotus
loulou
loulous
louons
lulu
lulus
lutons
luttons
mollo
mols
mono
monos
mont
montons
monts
moto
motos
mots
mottons
motus
moulons
moult
moulu
moulus
moulut
moulut
mous
mousson
moussons
moussu
moussus
mout
mouton
moutonnons
moutons
mouts
mulon
mulons
mulot
mulotons
mulots
muons
musons
mussons
must
musts
mutons
nommons
noms
notons
nounou
nounous
nouons
nous
nuls
nuons
osons
ossu
ossus
otons
oust
smolt
smolts
solo
solos
sols
sommons
somnolons
sonnons
sono
sonos
sons
sont
sots
soul
soulons
soulot
soulots
souls
sous
stolon
stolons
stout
stouts
summum
summums
suons
tolu
toluol
toluols
tolus
tomons
tonnons
tons
tonton
tontons
tonus
toto
toton
totons
totos
touons
tous
toussons
toussotons
tout
toutou
toutous
touts
tumulus
tuons
tutu
tutus
ululons
usons
