agnat
alla
allant
allat
alpaga
anal
annal
antan
aplat
apparat
appat
appata
appatant
appatat
attrapa
attrapant
attrapat
gaga
gagna
gagnant
gagnat
gala
galant
galgal
gang
ganga
gant
ganta
gantant
gantat
gara
garant
garat
gata
gatant
gatat
glana
glanant
glanat
gnangnan
gratta
grattant
grattat
lapa
lapant
lapat
latta
lattant
lattat
nana
nanan
nanar
nappa
nappant
nappat
narra
narrant
narrat
natal
natta
nattant
nattat
palan
palangra
palangrant
palangrat
palatal
palpa
palpant
palpat
pana
panant
panat
panna
pannant
pannat
papa
papal
para
parant
parat
parla
parlant
parlat
part
partant
pata
patant
patat
patta
pattant
pattat
plagal
plan
plana
planant
planat
plant
planta
plantant
plantat
plat
platra
platrant
platrat
raglan
rala
ralant
ralat
rang
rapa
rapant
rapat
rapt
rata
ratant
rataplan
ratat
rattrapa
rattrapant
rattrapat
tagal
tala
talant
talat
talla
tallant
tallat
tanagra
tangara
tanna
tannant
tannat
tant
tapa
tapant
tapat
tara
tarant
tarat
taratata
tarpan
tartan
tata
tata
tatant
tatat
tralala
trantran
