dissous
dodo
dodos
dodu
dodus
dois
doris
dors
douro
douros
drus
duodi
duodis
duos
durs
hoir
hoirs
hors
hourd
hourdi
hourdir
hourdis
hourds
houri
houris
houssoir
houssoirs
huis
iris
issu
issus
ordo
ossu
ossus
ouir
ouis
ourdi
ourdir
ourdis
ourdissoir
ourdissoirs
ourdou
ours
rhodoid
ridoir
ridoirs
risorius
rodoir
rodoirs
roidi
roidir
roidis
rois
rosi
rosir
rosis
roudoudou
roudoudous
roui
rouir
rouis
rouissoir
rouissoirs
roussi
roussir
roussis
rush
rushs
sirs
soir
soirs
sois
sors
sourd
sourds
souri
souris
sous
suis
surdos
suri
surir
suris
suros
surs
surs
sursis
sursois
sushi
sushis
urus
