distinct
distinctif
distinctifs
distincts
dits
fics
fictif
fictifs
fini
finis
finit
finit
fins
fisc
fiscs
incisif
incisifs
indistinct
indistincts
infini
infinis
infinitif
infinitifs
instinct
instinctif
instinctifs
instincts
inti
intis
nids
nifs
sniff
tics
tifs
tins
tint
tint
tintin
tintins
titi
titis
