mono
monos
mont
montons
montrons
monts
mort
morts
moto
motos
mots
mottons
motus
mouron
mouronnons
mourons
mourrons
mourront
mourus
mourut
mourut
mous
mousson
moussons
moussu
moussus
mout
mouton
moutonnons
moutons
mouts
muons
murmurons
murons
murs
murs
musons
mussons
must
musts
mutons
nommons
noms
notons
nounou
nounous
nouons
nous
nuons
ornons
osons
ossu
ossus
otons
ours
ourson
oursons
oust
outrons
ronron
ronronnons
ronrons
rosons
rossons
rotons
rotor
rotors
rots
rots
rouons
roustons
routons
ruons
rusons
ruts
sommons
sonnons
sono
sonos
sons
sont
sors
sort
sortons
sorts
sots
sous
stout
stouts
summum
summums
suons
surmontons
surnom
surnommons
surnoms
suros
surs
surs
surtout
susurrons
suturons
tomons
tonnons
tons
tonsurons
tonton
tontons
tonus
toron
toronnons
torons
tors
tort
tortorons
torts
torturons
toto
toton
totons
totos
touons
tour
tournons
touron
tourons
tours
tous
toussons
toussotons
tout
toutou
toutous
touts
tronons
trot
trots
trottons
trou
trouons
trous
troussons
trust
trustons
trusts
tuons
tussor
tussors
tutu
tutus
urus
usons
