agnat
alla
allant
allat
alun
aluna
alunant
alunat
anal
annal
annula
annulant
annulat
antan
autant
gaga
gagna
gagnant
gagnat
gala
galant
galgal
gang
ganga
gant
ganta
gantant
gantat
gata
gatant
gatat
gaula
gaulant
gaulat
glana
glanant
glanat
gluant
gluau
gnangnan
jugal
jugula
jugulant
jugulat
juta
jutant
jutat
latta
lattant
lattat
lulu
luta
lutant
lutat
lutta
luttant
luttat
naja
nana
nanan
natal
natta
nattant
nattat
nuant
nuat
tagal
tala
talant
talat
talla
tallant
tallat
tangua
tanguant
tanguat
tanna
tannant
tannat
tant
tata
tata
tatant
tatat
tuant
tuat
tutu
ulula
ululant
ululat
unau
