iris
iritis
issu
issus
mimi
mimis
mirs
miss
muri
murir
muris
murit
murit
murs
murs
must
musts
ruts
sirs
sium
siums
suis
suit
suivi
suivis
suivit
suivit
summum
summums
suri
surir
suris
surit
surit
surs
surs
sursis
sursit
sursit
survis
survit
tirs
tissu
tissus
titi
titis
tris
trismus
tritium
tritiums
triumvir
triumvirs
trust
trusts
tutti
tutu
tutus
urus
virus
