dito
dodo
dodu
doit
dort
dortoir
douro
droit
drop
duit
duodi
durit
idiot
itou
ordo
ouir
ouit
ourdi
ourdir
ourdit
ourdit
ourdou
output
pioupiou
pipi
pipit
port
porto
portor
pour
pourri
pourrir
pourrit
pourrit
pourtour
priori
prit
prit
produit
proprio
prou
prurit
purot
putti
putto
ridoir
rodoir
roidi
roidir
roidit
roidit
roti
rotir
rotit
rotit
rotor
roudoudou
roui
rouir
rouit
rouit
tiroir
titi
toit
topo
tord
tordit
tordit
tordoir
tordu
torii
tort
toto
tour
tourd
tout
toutou
tridi
trio
trip
tripot
trop
trot
trottoir
trou
tupi
tutti
tutu
