coco
cocos
cocu
cocus
corps
corpus
corromps
corrompu
corrompus
cors
cosmos
cossu
cossus
coucou
coucous
coup
coups
cour
cours
couru
courus
cous
couscous
cousu
cousus
croc
crocs
crocus
cross
crus
crus
cursus
moco
mocos
mourus
mous
moussu
moussus
mucor
mucors
mucus
murs
murs
musc
muscs
opossum
opossums
opus
ossu
ossus
ours
porc
porcs
pour
promo
promos
promu
promus
propos
pros
prou
purs
rococo
rococos
rocou
rocous
rocs
romps
rompu
rompus
scoop
scoops
socs
sors
sous
sucs
summum
summums
suros
surs
surs
urus
