insu
issu
issus
lippu
lippus
luis
luisis
lulu
lulus
lupin
lupins
lupulin
lupulins
lupus
lusin
lusins
nuis
nuisis
nuls
pins
pipi
pipis
plis
plus
puis
pull
pulls
puni
punis
sils
sinus
slip
slips
suis
suivi
suivis
supin
supins
unis
vils
vins
vulpin
vulpins
