chic
chichi
choc
choir
chou
chouchou
coco
cocorico
cocu
coucou
couic
cour
courir
couru
cric
cricri
croc
crochu
cuir
hocco
hoir
houri
ichor
joui
jouir
joujou
jour
juchoir
ouir
rococo
rocou
rouchi
roui
rouir
