ciron
coco
cocon
cocorico
cocu
coin
concourir
concouru
concu
coni
conir
connu
cornu
coron
coucou
couic
coup
coupon
cour
courir
couru
cric
cricri
crin
croc
croupi
croupion
croupir
cuir
inconnu
inoui
noir
noirci
noircir
nounou
nourri
nourrir
opinion
orin
orpin
ouir
pincon
pion
pioupiou
pipi
poincon
porc
porcin
porion
porno
poupin
poupon
pour
pourri
pourrir
priori
proprio
prou
puni
punir
purin
purpurin
ricin
rococo
rocou
ronron
roui
rouir
rupin
union
unir
urinoir
