diluvium
diluviums
divis
issu
issus
luis
luisis
lulu
lulus
midi
midis
mils
mimi
mimis
miss
muid
muids
sils
simili
similis
sium
siums
suis
suivi
suivis
summum
summums
vidimus
vils
