acajou
accoua
accu
acon
agaca
ajonc
angon
annonca
anon
anonna
aucun
caca
cacao
cagna
cajou
cajun
cana
cancan
cancana
canna
canon
canonna
caoua
coca
coco
cocon
cocu
cogna
cognac
concu
conga
conjugua
conjungo
connu
couac
coucou
gaga
gagna
gang
ganga
gnangnan
gnon
gnou
gogo
gong
goujon
goujonna
guanaco
guano
jonc
jonca
joua
joug
joujou
naja
nana
nanan
noua
nounou
nuanca
unau
