hoir
homo
houp
houri
humour
impur
mimi
miro
miroir
morio
mourir
mouroir
muri
murir
opium
ouir
phormium
pioupiou
pipi
pour
pourri
pourrir
primo
priori
promo
promu
proprio
prou
rhum
rompu
roui
rouir
roumi
