impot
impromptu
impur
itou
mimi
miro
miroir
moiti
moitir
moitit
moitit
morio
mort
moto
mourir
mouroir
mourut
mourut
mout
muri
murir
murit
murit
omit
omit
opium
optimum
ouir
ouit
output
pioupiou
pipi
pipit
port
porto
portor
pour
pourri
pourrir
pourrit
pourrit
pourtour
primo
priori
prit
prit
promit
promit
promo
prompt
promu
promut
promut
proprio
prou
prurit
purot
putti
putto
rompit
rompit
rompt
rompu
roti
rotir
rotit
rotit
rotor
roui
rouir
rouit
rouit
roumi
tiroir
titi
toit
topo
torii
tort
toto
tour
tout
toutim
toutou
trio
trip
tripot
tritium
trop
trot
trottoir
trou
tupi
tutti
tutu
