adapta
adaptai
adaptais
adaptait
adaptas
adaptat
aida
aidai
aidais
aidait
aidas
aidat
apaisa
apaisai
apaisais
apaisait
apaisas
apaisat
apis
appas
appat
appata
appatai
appatais
appatait
appatas
appatat
appats
appui
appuis
assai
assaut
assauts
assidu
assidus
assis
assista
assistai
assistais
assistait
assistas
assistat
assit
assit
asti
astis
attisa
attisai
attisais
attisait
attisas
attisat
audit
audits
aussi
dada
dadais
dadas
dais
data
datai
datais
datait
datas
datat
disais
disait
disputa
disputai
disputais
disputait
disputas
disputat
dissipa
dissipai
dissipais
dissipait
dissipas
dissipat
dissuada
dissuadai
dissuadais
dissuadait
dissuadas
dissuadat
dits
duit
duits
dupa
dupai
dupais
dupait
dupas
dupat
isatis
issu
issus
pais
paissais
paissait
pait
papa
papas
papi
papis
passa
passai
passais
passait
passas
passat
pastis
pata
patai
patais
patait
patas
patat
pataud
patauds
pati
patis
patissa
patissai
patissais
patissait
patissas
patissat
patit
patit
patta
pattai
pattais
pattait
pattas
pattat
pattu
pattus
pausa
pausai
pausais
pausait
pausas
pausat
pipa
pipai
pipais
pipait
pipas
pipat
pipi
pipis
pipit
pipits
pissa
pissai
pissais
pissait
pissas
pissat
pissat
pissats
pista
pistai
pistais
pistait
pistas
pistat
psitt
puai
puais
puait
puas
puat
puis
puisa
puisai
puisais
puisait
puisas
puisat
puits
putti
sais
sais
saisi
saisis
saisissais
saisissait
saisit
saisit
sait
sapa
sapai
sapais
sapait
sapas
sapat
sassa
sassai
sassais
sassait
sassas
sassat
sati
satis
saut
sauta
sautai
sautais
sautait
sautas
sautat
sauts
situa
situai
situais
situait
situas
situat
spitta
spittai
spittais
spittait
spittas
spittat
stadia
stadias
statua
statuai
statuais
statuait
statuas
statuat
statut
statuts
suai
suais
suait
suas
suat
suis
suit
supputa
supputai
supputais
supputait
supputas
supputat
susdit
susdits
taiaut
tais
taisais
taisait
tait
tapa
tapai
tapais
tapait
tapas
tapat
tapi
tapis
tapissa
tapissai
tapissais
tapissait
tapissas
tapissat
tapit
tapit
tassa
tassai
tassais
tassait
tassas
tassat
tata
tata
tatai
tatais
tatait
tatas
tatas
tatat
taudis
tisa
tisai
tisais
tisait
tisas
tisat
tissa
tissai
tissais
tissait
tissas
tissat
tissu
tissus
titi
titis
tuai
tuais
tuait
tuas
tuat
tupi
tutti
tutu
tutus
upas
usai
usais
usait
usas
usat
