aboya
affala
affama
affola
alfa
alla
allo
ambla
baba
baby
baffa
balaya
balla
baobab
baya
blabla
blablabla
blama
bobo
bomba
boom
falbala
flamba
flamboya
lama
laya
loba
lobby
lofa
lolo
loofa
loyal
mambo
mammy
maya
mollo
moly
