dissolu
dissolus
dissous
dodo
dodos
dodu
dodus
dois
dols
doum
doums
duodi
duodis
duos
issu
issus
lido
lidos
lods
lois
lolo
lolos
louis
loulou
loulous
luis
luisis
lulu
lulus
midi
midis
mildiou
mildious
mils
mimi
mimis
miss
modus
mois
moisi
moisis
molli
mollis
mollo
mols
moud
mouds
moulu
moulus
mous
moussu
moussus
muid
muids
oidium
oidiums
olim
omis
osmium
osmiums
ossu
ossus
ouis
silo
silos
sils
simili
similis
sium
siums
sodium
sois
solo
solos
sols
soul
souls
soumis
sous
suis
summum
summums
