clos
clou
clous
coco
cocos
cocu
cocus
cols
complu
complus
cool
cosmos
cossu
cossus
coucou
coucous
coup
coups
cous
couscous
cousu
cousus
culs
cumul
cumuls
cumulus
lolo
lolos
loulou
loulous
loup
loups
lulu
lulus
lump
lumps
lupus
moco
mocos
mollo
molluscum
molluscums
mols
moulu
moulus
mous
moussu
moussus
mucus
musc
muscs
occlu
occlus
oculus
opossum
opossums
opus
ossu
ossus
ploc
plouc
ploucs
plus
polo
polos
pool
pools
populo
populos
pouls
pull
pulls
scoop
scoops
scull
sculls
sloop
sloops
socs
solo
solos
sols
soul
souls
sous
sucs
summum
summums
