bibi
bibis
bobo
bobos
bobs
bois
boom
booms
boss
bossoir
bossoirs
brio
brios
bris
brisis
brrr
ibis
iris
mimi
mimis
miro
miroir
miroirs
miros
mirs
miss
mois
moisi
moisir
moisis
morio
morios
omis
ovibos
rivoir
rivoirs
robs
rois
rosi
rosir
rosis
sirs
soir
soirs
sois
sors
voir
vois
vomi
vomir
vomis
vrombi
vrombir
vrombis
