dito
dodo
dodu
doit
dort
dortoir
douro
droit
duit
duodi
durit
hoir
hourd
hourdi
hourdir
hourdit
hourdit
houri
huit
idiot
itou
ordo
ouir
ouit
ourdi
ourdir
ourdit
ourdit
ourdou
rhodoid
ridoir
rodoir
roidi
roidir
roidit
roidit
roti
rotir
rotit
rotit
rotor
roudoudou
roui
rouir
rouit
rouit
tiroir
titi
toit
tord
tordit
tordit
tordoir
tordu
torii
tort
toto
tour
tourd
tout
toutou
tridi
trio
trot
trottoir
trou
tutti
tutu
