dodo
dodu
dondon
doum
douro
fond
fondu
forum
foufou
four
froufrou
mono
mord
mordu
morfond
morfondu
moud
mouron
nord
nounou
ordo
ourdou
rond
rondo
ronron
roudoudou
rouf
round
