bobo
bobos
bobs
boots
bort
borts
bosco
boscos
boscot
boscots
boss
bossu
bossus
bots
boubou
boubous
bouc
boucs
bourru
bourrus
bous
bout
bouts
broc
brocs
brou
brous
brout
brouts
brrr
brus
brut
bruts
busc
buscs
butor
butors
buts
coco
cocos
cocu
cocus
cors
cossu
cossus
coucou
coucous
cour
cours
court
courts
couru
courus
courut
courut
cous
couscous
cousu
cousus
cout
couts
croc
crocs
crocus
cross
crus
crus
crut
crut
cursus
obscur
obscurs
obtus
obus
octuor
octuors
ossu
ossus
ours
oust
robot
robots
robs
rococo
rococos
rocou
rocous
rocs
rotor
rotors
rots
rots
ruts
scorbut
scorbuts
scout
scouts
socs
sors
sort
sorts
sots
sous
stout
stouts
stuc
stucs
sucs
suros
surs
surs
surtout
tocs
tors
tort
torts
toto
totos
tour
tours
tous
tout
toutou
toutous
touts
troc
trocs
trot
trots
trou
trous
truc
trucs
trust
trusts
tubs
turbot
turbots
turc
turco
turcos
turcs
tussor
tussors
tutu
tutus
urubu
urubus
urus
