ilion
immun
impoli
impuni
inoui
limon
lino
linon
lion
lippu
loin
lolo
lopin
loulou
loup
lulu
lump
lupin
lupulin
million
milouin
mimi
mini
minimum
minium
minou
moinillon
molli
mollo
mono
moulin
moulu
mulon
muni
nounou
olim
omnium
opinion
opium
pilon
pilou
pilum
pion
pioupiou
pipi
poil
poilu
poli
polio
polo
polonium
pompon
pool
populo
poumon
poupin
poupon
pull
puni
union
