font
foot
foots
foufou
foufous
fous
fout
foutons
foutu
foutus
fumons
fusons
futs
mono
monos
mont
montons
monts
moto
motos
mots
mottons
motus
mouftons
mous
mousson
moussons
moussu
moussus
mout
mouton
moutonnons
moutons
mouts
muons
musons
mussons
must
musts
mutons
nommons
noms
notons
nounou
nounous
nouons
nous
nuons
osons
ossu
ossus
otons
oust
sommons
sonnons
sono
sonos
sons
sont
sots
sous
stout
stouts
summum
summums
suons
tomons
tonnons
tons
tonton
tontons
tonus
toto
toton
totons
totos
touffu
touffus
touons
tous
toussons
toussotons
tout
toutou
toutous
touts
tufs
tuons
tutu
tutus
usons
