antan
apparat
apparu
apparut
apparut
appat
appata
appatant
appatat
apura
apurant
apurat
attrapa
attrapant
attrapat
aura
autant
jappa
jappant
jappat
jura
jurant
jurat
jurat
juta
jutant
jutat
naja
nana
nanan
nanar
nappa
nappant
nappat
narra
narrant
narrat
natta
nattant
nattat
nuant
nuat
pana
panant
panat
panna
pannant
pannat
papa
para
parant
parat
parjura
parjurant
parjurat
part
partant
paru
parut
parut
pata
patant
patat
patta
pattant
pattat
pattu
patura
paturant
paturat
puant
puat
puna
purpura
raja
rapa
rapant
rapat
rapt
rata
ratant
ratat
rattrapa
rattrapant
rattrapat
ratura
raturant
raturat
ruant
ruat
tanna
tannant
tannat
tant
tapa
tapant
tapat
tara
tarant
tarat
taratata
tarpan
tartan
tata
tata
tatant
tatat
trantran
trapu
tuant
tuat
tupaja
tutu
unau
